20160901 022400;0.753310;0.753550;0.753300;0.753540;0
20160901 022500;0.753520;0.753620;0.753510;0.753610;0
20160901 022600;0.753630;0.753630;0.753520;0.753520;0
20160901 022700;0.753530;0.753730;0.753530;0.753710;0
20160901 022800;0.753710;0.753710;0.753620;0.753680;0
20160901 022900;0.753700;0.753720;0.753620;0.753640;0
20160901 023000;0.753610;0.753650;0.753530;0.753540;0
20160901 023100;0.753590;0.753620;0.753550;0.753550;0
20160901 023200;0.753530;0.753530;0.753500;0.753530;0
20160901 023300;0.753540;0.753710;0.753540;0.753570;0
20160901 023400;0.753560;0.753640;0.753550;0.753630;0
20160901 023500;0.753590;0.753870;0.753590;0.753850;0
20160901 023600;0.753840;0.753930;0.753840;0.753930;0
20160901 023700;0.753970;0.754010;0.753940;0.754010;0
20160901 023800;0.754020;0.754270;0.753950;0.754190;0
20160901 023900;0.754180;0.754180;0.754060;0.754160;0
20160901 024000;0.754140;0.754180;0.754110;0.754110;0
20160901 024100;0.754120;0.754140;0.754120;0.754140;0
20160901 024200;0.754140;0.754150;0.754120;0.754150;0
20160901 024300;0.754150;0.754150;0.754130;0.754130;0
20160901 024400;0.754100;0.754100;0.753940;0.753950;0
20160901 024500;0.753960;0.753990;0.753840;0.753910;0
20160901 024600;0.753920;0.754040;0.753920;0.754040;0
20160901 024700;0.754020;0.754040;0.754010;0.754040;0
20160901 024800;0.754020;0.754160;0.754010;0.754160;0
20160901 024900;0.754150;0.754150;0.754060;0.754140;0
20160901 025000;0.754150;0.754160;0.754020;0.754130;0
20160901 025100;0.754140;0.754160;0.754100;0.754110;0
20160901 025200;0.754130;0.754230;0.754130;0.754220;0
20160901 025300;0.754230;0.754230;0.754010;0.754100;0
20160901 025400;0.754150;0.754170;0.754010;0.754020;0
20160901 025500;0.754040;0.754080;0.754010;0.754010;0
20160901 025600;0.754030;0.754090;0.754010;0.754090;0
20160901 025700;0.754100;0.754510;0.754100;0.754510;0
20160901 025800;0.754510;0.754510;0.754350;0.754400;0
20160901 025900;0.754400;0.754450;0.754330;0.754420;0
20160901 030000;0.754410;0.754510;0.754140;0.754150;0
20160901 030100;0.754140;0.754290;0.754030;0.754290;0
20160901 030200;0.754300;0.754460;0.754290;0.754410;0
20160901 030300;0.754420;0.754450;0.754330;0.754410;0
20160901 030400;0.754380;0.754570;0.754380;0.754520;0
20160901 030500;0.754520;0.754520;0.754430;0.754440;0
20160901 030600;0.754450;0.754570;0.754440;0.754510;0
20160901 030700;0.754500;0.754560;0.754410;0.754430;0
20160901 030800;0.754430;0.754430;0.754320;0.754320;0
20160901 030900;0.754320;0.754330;0.754290;0.754300;0
20160901 031000;0.754280;0.754280;0.754170;0.754200;0
20160901 031100;0.754190;0.754190;0.753930;0.754020;0
20160901 031200;0.754030;0.754140;0.754000;0.754010;0
20160901 031300;0.754020;0.754110;0.753930;0.753930;0
20160901 031400;0.753920;0.754010;0.753860;0.753900;0
20160901 031500;0.753890;0.753940;0.753890;0.753920;0
20160901 031600;0.753930;0.754010;0.753880;0.753910;0
20160901 031700;0.753930;0.753980;0.753880;0.753920;0
20160901 031800;0.753930;0.753960;0.753880;0.753940;0
20160901 031900;0.753950;0.753950;0.753700;0.753800;0
20160901 032000;0.753790;0.753810;0.753700;0.753710;0
20160901 032100;0.753720;0.753780;0.753690;0.753730;0
20160901 032200;0.753750;0.753830;0.753690;0.753820;0
20160901 032300;0.753810;0.753810;0.753750;0.753750;0
20160901 032400;0.753730;0.753760;0.753680;0.753680;0
20160901 032500;0.753690;0.753710;0.753590;0.753610;0
20160901 032600;0.753600;0.753620;0.753520;0.753520;0
20160901 032700;0.753510;0.753600;0.753510;0.753520;0
20160901 032800;0.753510;0.753530;0.753500;0.753500;0
20160901 032900;0.753490;0.753500;0.753280;0.753280;0
20160901 033000;0.753300;0.753310;0.753100;0.753100;0
20160901 033100;0.753120;0.753220;0.753120;0.753210;0
20160901 033200;0.753220;0.753320;0.753190;0.753300;0
20160901 033300;0.753300;0.753430;0.753300;0.753320;0
20160901 033400;0.753310;0.753420;0.753280;0.753310;0
20160901 033500;0.753320;0.753320;0.753200;0.753220;0
20160901 033600;0.753220;0.753220;0.752890;0.752920;0
20160901 033700;0.752900;0.752990;0.752880;0.752890;0
20160901 033800;0.752900;0.752990;0.752750;0.752990;0
20160901 033900;0.752970;0.753090;0.752900;0.753020;0
20160901 034000;0.753020;0.753040;0.752900;0.753000;0
20160901 034100;0.752980;0.753030;0.752920;0.752920;0
20160901 034200;0.752900;0.752900;0.752890;0.752890;0
20160901 034300;0.752920;0.752930;0.752900;0.752920;0
20160901 034400;0.752920;0.752920;0.752700;0.752730;0
20160901 034500;0.752780;0.752840;0.752760;0.752820;0
20160901 034600;0.752880;0.753000;0.752880;0.752950;0
20160901 034700;0.752980;0.753100;0.752930;0.753020;0
20160901 034800;0.753020;0.753230;0.753020;0.753220;0
20160901 034900;0.753220;0.753220;0.752900;0.752910;0
20160901 035000;0.752920;0.753060;0.752920;0.752980;0
20160901 035100;0.752990;0.753020;0.752710;0.752710;0
20160901 035200;0.752720;0.752720;0.752600;0.752610;0
20160901 035300;0.752600;0.752610;0.752580;0.752600;0
20160901 035400;0.752610;0.752620;0.752540;0.752600;0
20160901 035500;0.752600;0.752620;0.752580;0.752610;0
20160901 035600;0.752610;0.752620;0.752480;0.752540;0
20160901 035700;0.752520;0.752570;0.752390;0.752520;0
20160901 035800;0.752520;0.752580;0.752190;0.752310;0
20160901 035900;0.752300;0.752380;0.752250;0.752380;0
20160901 040000;0.752370;0.752530;0.752310;0.752510;0
20160901 040100;0.752520;0.752600;0.752490;0.752600;0
